Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032,
"C1, C21, C4, C5",0402,4,1u,
"C10, C8",0402,2,10u,
"C11, C12, C15, C16, C17, C18, C19, C2, C20, C9",0402,10,0u1,
"C13, C14",0402,2,7p,
C3,0402,1,4n7,
"C6, C7",0402,2,15p,
"D1, D4, D5",SOT-666,3,USBLC6-2P6,
D2,APA102_2020-6Pin,1,SK9822-EC20,
D3,D_SOD-323F,1,PMEG4010CEJ,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x05_P2.54mm_Vertical,2,PR5L5015-5P-C-H,
"R1, R7, R8",0402,3,4k7,
"R10, R11, R12, R9",0402,4,100,
R13,0402,1,383k,
"R2, R6",0402,2,1k,
R3,0402,1,1M,
"R4, R5",0402,2,5k1,
"SW1, SW3",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SKRPACE010,
SW2,SW_Hotswap_Kailh_MX,1,SW_Push,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24CS02-SSHM,
U2,SOT-23-5,1,MAX40200AUK,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOT-23-5,1,TLV75733PDBV,
U5,STCC4,1,STCC4,
U6,XDCR_STHS34PF80TR,1,STHS34PF80,
U7,VEML7700-TT,1,VEML7700-TT,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP79410,
U9,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT40,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,X1A0000610006,
