Designator,Mid X,Mid Y,Rotation,Layer
BT1,115.8,-60.8,180.0,top
C1,101.6,-71.925,90.0,top
C10,156.4,-73.4,270.0,top
C11,131.5,-55.25,0.0,top
C12,115.0,-49.4,180.0,top
C13,128.6,-68.8,180.0,top
C14,128.2,-73.2,90.0,top
C15,131.8,-57.8,180.0,top
C16,119.265,-48.185,270.0,bottom
C18,120.0,-71.8,0.0,top
C19,144.8,-69.0,0.0,top
C2,141.6,-53.6,180.0,top
C20,140.0,-69.2,180.0,top
C21,146.535,-66.6,0.0,top
C3,149.6,-61.6,90.0,top
C4,150.2,-59.6,0.0,top
C5,101.6,-77.4,90.0,top
C6,134.68,-61.8,0.0,top
C7,132.8,-66.8,0.0,top
C8,151.2,-73.4,270.0,top
C9,146.2,-68.2,270.0,top
D1,149.6,-65.6,180.0,top
D2,142.0,-72.4,0.0,top
D3,140.0,-78.8,270.0,top
D4,146.5375,-79.15,270.0,top
D5,116.9375,-78.95,270.0,top
J1,156.4,-65.5,90.0,top
J2,145.08,-82.5,270.0,bottom
J3,112.92,-82.5,90.0,bottom
R1,150.2,-58.6,0.0,top
R10,145.4,-76.4,270.0,top
R11,117.6,-76.2,270.0,top
R12,116.2,-76.2,270.0,top
R13,112.6,-80.2,0.0,top
R2,109.11,-72.925,0.0,top
R3,150.8,-61.6,270.0,top
R4,150.2,-63.6,180.0,top
R5,150.2,-67.6,180.0,top
R6,134.8,-66.8,0.0,top
R7,141.5,-51.5,0.0,top
R8,141.5,-50.25,0.0,top
R9,147.6,-76.4,270.0,top
SW1,105.2,-71.925,0.0,top
SW2,151.06,-50.48,0.0,top
SW3,105.2,-77.4,0.0,top
U1,138.4125,-57.095,270.0,top
U10,121.2,-76.2,0.0,top
U2,149.6,-70.4,90.0,top
U3,141.4,-64.4,0.0,top
U4,153.7375,-73.8,180.0,top
U5,133.25,-48.6,0.0,top
U6,121.75,-47.4,0.0,bottom
U7,115.0,-46.8,0.0,top
U8,132.8,-72.0,270.0,top
Y1,134.6,-64.2,0.0,top
Y2,128.0,-70.8,90.0,top
