Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,2S/10C ~1500mAh,
C1,0402,1,4n7,
"C10, C12, C13, C17, C3, C5, C6, C7",0402,8,0u1,
"C11, C16, C2, C4",0402,4,1u,
"C14, C15",0402,2,10u,
"C8, C9",0402,2,15p,
D1,APA102_2020-6Pin,1,SK9822-EC20,
"D2, D4, D5",SOT-666,3,USBLC6-2P6,
D3,D_SOD-323F,1,PMEG4010CEJ,
F1,2920,1,2920L1000SL21GRG,
"F2, F3, F4, F5",1812,4,BSMD1812-200-30V,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,
J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,JST-XH,
J3,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST-XH,
"J5, J6",PinHeader_1x05_P2.54mm_Vertical,2,PR5L5015-5P-C-H,
"J7, J8",Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,2,Conn_01x10_MountingPin,
"M1, M2, M3, M4",PinHeader_1x03_P2.54mm_Vertical,4,MG996R,
Q1,SOT-723,1,NTK3139P,
R1,0402,1,1M,
"R10, R16, R17, R18",0402,4,10k,
R11,0402,1,953k,
"R12, R13, R14, R15",0402,4,100,
"R2, R5",0402,2,1k,
"R3, R4",0402,2,5k1,
"R6, R7",0402,2,4k7,
R8,1206,1,5m,
R9,1206,1,100m,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SKRPACE010,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24CS02-SSHM,
"U2, U5",SOT-23-5,2,MAX40200AUK,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,UBEC-5V,1,UBEC-5V,
U6,DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm,1,MAX17049,
U7,LGA14_LSM6_STM,1,LSM6DSV16X,
U8,SOT-23-5,1,TLV75733PDBV,
U9,Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,INA3221,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
