Designator,Mid X,Mid Y,Rotation,Layer
BT1,191.0,-71.5,270.0,top
C1,208.23,-107.25,0.0,top
C10,162.0,-95.25,180.0,top
C11,165.25,-102.02,0.0,top
C12,197.5,-62.5,0.0,top
C13,155.75,-82.75,0.0,top
C14,199.25,-111.25,270.0,top
C15,204.75,-111.25,270.0,top
C16,194.5,-118.75,180.0,top
C17,179.75,-138.75,0.0,top
C2,141.0,-107.98,90.0,top
C3,175.5,-95.0,0.0,top
C4,141.0,-103.25,90.0,top
C5,150.27,-93.26,90.0,top
C6,164.0,-104.25,0.0,top
C7,165.25,-103.04,0.0,top
C8,152.5,-97.25,0.0,top
C9,149.75,-99.75,270.0,top
D1,152.25,-93.25,0.0,top
D2,200.0,-100.0,180.0,top
D3,164.0,-141.0,270.0,top
D4,157.5,-141.0,270.0,top
D5,187.0,-141.0,270.0,top
F1,190.75,-57.5,90.0,top
F2,167.75,-106.5,270.0,top
F3,172.25,-106.5,270.0,top
F4,176.75,-106.5,270.0,top
F5,181.25,-106.5,270.0,top
H1,145.0,-55.0,0.0,top
H2,205.0,-55.0,0.0,top
H3,145.0,-145.0,0.0,top
H4,205.0,-145.0,0.0,top
H5,144.5,-114.5,0.0,top
H6,205.0,-115.0,0.0,top
J1,207.5,-100.0,90.0,top
J2,200.555,-87.5,90.0,top
J3,201.475,-71.75,270.0,top
J4,190.975,-87.5,90.0,top
J5,158.92,-145.0,270.0,top
J6,191.08,-145.0,90.0,top
J7,153.0,-114.025,0.0,top
J8,150.0,-127.95,180.0,top
M1,165.25,-114.0,0.0,top
M2,169.57,-113.96,0.0,top
M3,174.16,-113.96,0.0,top
M4,178.75,-113.96,0.0,top
Q1,197.0,-109.5,0.0,top
R1,208.25,-106.0,180.0,top
R10,194.75,-112.25,0.0,top
R11,153.0,-103.25,0.0,top
R12,158.25,-138.25,270.0,top
R13,156.69,-138.26,270.0,top
R14,184.75,-138.75,0.0,top
R15,184.75,-140.0,0.0,top
R16,197.25,-113.5,0.0,top
R17,197.75,-114.75,0.0,top
R18,191.0,-113.0,90.0,top
R2,148.5,-109.0,0.0,top
R3,200.75,-98.25,180.0,top
R4,200.75,-101.75,180.0,top
R5,152.6,-102.2,0.0,top
R6,156.5,-94.5,90.0,top
R7,155.0,-96.0,180.0,top
R8,189.0,-115.6375,90.0,top
R9,193.0,-110.3875,0.0,top
SW1,144.5,-108.0,0.0,top
SW2,144.5,-103.25,0.0,top
U1,169.75,-97.0,270.0,top
U10,181.095,-143.225,0.0,top
U2,199.5,-106.5,0.0,top
U3,160.0,-100.0,0.0,top
U4,172.25,-72.75,270.0,top
U5,193.5,-106.5,0.0,top
U6,197.5,-60.0,0.0,top
U7,157.1,-84.75,180.0,top
U8,202.0,-111.7,180.0,top
U9,193.725,-115.525,90.0,top
Y1,152.6,-99.7,0.0,top
