Designator,Mid X,Mid Y,Rotation,Layer
BT1,115.2,-67.25,90.0,bottom
C1,157.5,-65.0,270.0,top
C10,117.5,-65.25,90.0,top
C11,126.75,-70.25,180.0,top
C12,126.75,-69.25,180.0,top
C13,141.0,-72.0,270.0,top
C14,142.0,-72.0,270.0,top
C15,128.5,-58.479874,90.0,top
C16,123.25,-48.5,90.0,top
C17,124.5,-52.8125,90.0,top
C18,130.25,-53.0625,90.0,top
C19,119.0,-60.5,270.0,top
C2,133.75,-50.01,90.0,top
C3,118.0,-47.75,90.0,top
C4,112.75,-47.75,90.0,top
C5,124.02,-67.0,0.0,top
C6,112.75,-67.0,180.0,top
C7,135.0,-48.0,90.0,top
C8,156.75,-69.0,270.0,top
C9,135.09,-74.01,90.0,top
D1,119.25,-56.5,0.0,top
D10,122.25,-52.8125,90.0,top
D11,128.05,-53.0,90.0,top
D2,117.0,-62.75,180.0,top
D3,155.0,-69.0,180.0,top
D4,111.75,-50.25,0.0,top
D5,128.75,-68.65,270.0,top
D6,126.25,-65.75,270.0,top
D7,121.75,-69.0,270.0,top
D8,151.0,-69.0,270.0,top
D9,121.05,-48.5,90.0,top
F1,132.0,-72.0,270.0,top
H1,112.5,-42.5,0.0,top
H2,165.5,-72.5,0.0,top
H3,112.5,-72.5,0.0,top
H4,165.5,-42.5,0.0,top
J1,112.5,-56.5,270.0,top
J2,165.5,-57.5,0.0,bottom
J3,122.92,-72.5,270.0,top
J4,155.08,-72.5,90.0,top
LS1,145.4,-69.325,0.0,top
Q1,132.0,-67.0,90.0,top
Q2,118.0,-68.75,270.0,top
R1,156.25,-65.0,90.0,top
R10,135.25,-58.49,90.0,top
R11,135.25,-60.76,270.0,top
R12,119.75,-68.75,270.0,top
R13,132.0,-64.25,180.0,top
R14,123.75,-65.25,270.0,top
R15,137.25,-69.5,0.0,top
R16,135.09,-72.01,90.0,top
R17,156.75,-52.5,0.0,top
R18,156.75,-51.25,0.0,top
R19,133.5,-59.0,180.0,top
R2,135.0,-50.0,270.0,top
R20,133.5,-60.25,180.0,top
R21,123.75,-50.0,0.0,top
R22,124.5,-48.5,90.0,top
R23,125.0,-54.3125,180.0,top
R24,125.5,-52.8125,90.0,top
R25,130.75,-54.5625,180.0,top
R26,131.25,-53.0625,90.0,top
R27,118.0,-60.5,90.0,top
R3,134.75,-56.75,180.0,top
R4,134.75,-55.5,180.0,top
R5,118.75,-58.25,0.0,top
R6,118.75,-54.75,0.0,top
R7,115.5,-72.5,90.0,top
R8,114.75,-63.0,90.0,top
R9,114.5,-50.25,180.0,top
SW1,158.75,-61.75,0.0,top
SW2,158.75,-48.5,0.0,top
SW3,121.5,-41.75,180.0,top
U1,112.3,-64.25,90.0,top
U2,145.75,-52.75,0.0,top
U3,115.3875,-47.2,0.0,top
U4,120.5,-65.5,180.0,top
U5,138.09,-72.76,90.0,top
U6,122.25,-61.25,270.0,top
U7,140.5625,-68.75,0.0,top
U8,130.639,-57.499874,270.0,top
